NUM_BLOCK,NUM_THREAD,runtime
60,16,0.1599
60,32,0.07737
60,48,0.04941
60,64,0.03707
60,80,0.03007
60,96,0.02507
60,112,0.022
60,128,0.01923
60,144,0.01777
60,160,0.01601
120,16,0.07326
120,32,0.03665
120,48,0.02492
120,64,0.01871
120,80,0.01598
120,96,0.01334
120,112,0.01192
120,128,0.01045
120,144,0.01316
120,160,0.01187
180,16,0.04886
180,32,0.02446
180,48,0.01705
180,64,0.01282
180,80,0.01112
180,96,0.009288
180,112,0.01132
180,128,0.009944
180,144,0.01131
180,160,0.0102
240,16,0.03723
240,32,0.01866
240,48,0.01326
240,64,0.009983
240,80,0.01184
240,96,0.009901
240,112,0.01083
240,128,0.009516
240,144,0.01099
240,160,0.009921
300,16,0.02994
300,32,0.01501
300,48,0.01107
300,64,0.008338
300,80,0.01079
300,96,0.009043
300,112,0.01042
300,128,0.009154
300,144,0.01019
300,160,0.009211
360,16,0.02548
360,32,0.01279
360,48,0.0116
360,64,0.008748
360,80,0.01102
360,96,0.009238
360,112,0.01015
360,128,0.008945
360,144,0.01018
360,160,0.009228
420,16,0.02195
420,32,0.01103
420,48,0.01132
420,64,0.008551
420,80,0.01039
420,96,0.008705
420,112,0.009961
420,128,0.008776
420,144,0.009761
420,160,0.008845
600,16,0.01659
600,32,0.008383
600,48,0.01103
600,64,0.008353
600,80,0.01035
600,96,0.0087
600,112,0.009665
600,128,0.008563
600,144,0.009669
600,160,0.008782
